concelho.y,ano,Pop,H,M
Arcos de Valdevez,2012,22426,10210,12216
Caminha,2012,16512,7643,8869
Melgaço,2012,8943,3952,4991
Monção,2012,19025,8633,10392
Paredes de Coura,2012,9086,4328,4758
Ponte da Barca,2012,11889,5482,6407
Ponte de Lima,2012,43283,20336,22947
Valença,2012,13933,6489,7444
Viana do Castelo,2012,87896,41426,46470
Vila Nova de Cerveira,2012,9166,4385,4781
Amares,2012,18709,9051,9658
Barcelos,2012,120084,57973,62111
Braga,2012,182110,86790,95320
Esposende,2012,34286,16294,17992
Terras de Bouro,2012,7000,3353,3647
Vila Verde,2012,47901,22976,24925
Fafe,2012,50249,23704,26545
Guimarães,2012,157214,76139,81075
Póvoa de Lanhoso,2012,21889,10404,11485
Santo Tirso,2012,70996,33893,37103
Trofa,2012,38843,18683,20160
Vieira do Minho,2012,12719,6113,6606
Vila Nova de Famalicão,2012,133974,64762,69212
Vizela,2012,23851,11667,12184
Espinho,2012,30929,14627,16302
Gondomar,2012,168016,80644,87372
Maia,2012,136017,64994,71023
Matosinhos,2012,175321,83062,92259
Porto,2012,227535,103132,124403
Póvoa de Varzim,2012,63282,29898,33384
Valongo,2012,94884,45344,49540
Vila do Conde,2012,79808,38480,41328
Vila Nova de Gaia,2012,303149,144330,158819
Amarante,2012,55677,26655,29022
Baião,2012,20119,9622,10497
Cabeceiras de Basto,2012,16520,8024,8496
Castelo de Paiva,2012,16432,8014,8418
Celorico de Basto,2012,19952,9678,10274
Cinfães,2012,19953,9695,10258
Felgueiras,2012,57904,27910,29994
Lousada,2012,47450,23047,24403
Marco de Canaveses,2012,53273,25918,27355
Mondim de Basto,2012,7401,3560,3841
Paços de Ferreira,2012,56929,28347,28582
Paredes,2012,87020,42537,44483
Penafiel,2012,71848,34882,36966
Resende,2012,11083,5395,5688
Ribeira de Pena,2012,6419,3157,3262
Arouca,2012,22002,10597,11405
Oliveira de Azeméis,2012,68186,32902,35284
Santa Maria da Feira,2012,140066,67573,72493
São João da Madeira,2012,21685,10219,11466
Vale de Cambra,2012,22558,10903,11655
Alijó,2012,11641,5587,6054
Armamar,2012,6150,2895,3255
Carrazeda de Ansiães,2012,6173,2948,3225
